refactoring_type,fork_name,patch_id
RENAME_PARAMETER,linkedin,1
RENAME_METHOD,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
RENAME_ATTRIBUTE,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
ADD_PARAMETER,linkedin,1
EXTRACT_AND_MOVE_OPERATION,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
RENAME_PARAMETER,linkedin,1
RENAME_METHOD,linkedin,1
ADD_PARAMETER,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
EXTRACT_VARIABLE,linkedin,1
ADD_PARAMETER,linkedin,1
ADD_PARAMETER,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_VARIABLE,linkedin,1
ADD_METHOD_ANNOTATION,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
MODIFY_METHOD_ANNOTATION,linkedin,1
RENAME_METHOD,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
EXTRACT_OPERATION,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
MOVE_AND_RENAME_OPERATION,linkedin,1
RENAME_PARAMETER,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_PARAMETER,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
INLINE_OPERATION,linkedin,1
EXTRACT_VARIABLE,linkedin,1
RENAME_VARIABLE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
REMOVE_PARAMETER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
MOVE_OPERATION,linkedin,1
REMOVE_PARAMETER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
MOVE_OPERATION,linkedin,1
ADD_PARAMETER,linkedin,1
ADD_PARAMETER,linkedin,1
EXTRACT_VARIABLE,linkedin,1
ADD_PARAMETER,linkedin,1
ADD_PARAMETER,linkedin,1
ADD_PARAMETER,linkedin,1
ADD_PARAMETER,linkedin,1
RENAME_PARAMETER,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_VARIABLE,linkedin,1
EXTRACT_AND_MOVE_OPERATION,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_PARAMETER,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_VARIABLE,linkedin,1
ADD_ATTRIBUTE_ANNOTATION,linkedin,1
ADD_ATTRIBUTE_ANNOTATION,linkedin,1
RENAME_METHOD,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
RENAME_METHOD,linkedin,1
INLINE_OPERATION,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
RENAME_ATTRIBUTE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
RENAME_VARIABLE,linkedin,1
RENAME_ATTRIBUTE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
CHANGE_OPERATION_ACCESS_MODIFIER,linkedin,1
EXTRACT_AND_MOVE_OPERATION,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
CHANGE_RETURN_TYPE,linkedin,1
RENAME_PARAMETER,linkedin,1
RENAME_METHOD,linkedin,1
RENAME_ATTRIBUTE,linkedin,1
EXTRACT_VARIABLE,linkedin,1
RENAME_METHOD,linkedin,1
ADD_THROWN_EXCEPTION_TYPE,linkedin,1
REMOVE_METHOD_ANNOTATION,linkedin,1
REMOVE_METHOD_ANNOTATION,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
CHANGE_ATTRIBUTE_TYPE,linkedin,1
CHANGE_VARIABLE_TYPE,linkedin,1
CHANGE_PARAMETER_TYPE,linkedin,1
